epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,178.862,1.76888,2.36477,0.86344,0.03405,0.19662,0.14358,0.06255,1.8289,3.08355,0.83218,0.000405983,0.000405983,0.000405983
2,350.516,1.49014,1.14577,0.82435,0.39822,0.34348,0.22506,0.11792,1.49739,2.1084,0.81719,0.000741207,0.000741207,0.000741207
3,518.557,1.47813,1.07743,0.81973,0.96313,0.21916,0.24951,0.13638,1.42722,1.29057,0.80836,0.000993932,0.000993932,0.000993932
4,690.552,1.38657,1.00866,0.81016,0.71749,0.25821,0.26951,0.15779,1.3283,1.0565,0.80301,0.00087875,0.00087875,0.00087875
5,857.594,1.31243,0.9385,0.805,0.77189,0.27756,0.33885,0.19604,1.27252,1.0052,0.79943,0.000755,0.000755,0.000755
6,1025.09,1.29483,0.89495,0.80118,0.65422,0.29309,0.39141,0.23094,1.2531,0.85571,0.79735,0.00063125,0.00063125,0.00063125
7,1191.13,1.27591,0.85018,0.8023,0.68647,0.41128,0.47711,0.28245,1.21649,0.79342,0.79184,0.0005075,0.0005075,0.0005075
8,1356.39,1.24142,0.81316,0.79404,0.78083,0.46271,0.53064,0.32118,1.21697,0.75164,0.79561,0.00038375,0.00038375,0.00038375
9,1522.87,1.19602,0.76637,0.79382,0.80933,0.49874,0.57017,0.35138,1.18571,0.72975,0.79129,0.00026,0.00026,0.00026
10,1691.6,1.21864,0.76026,0.79004,0.81467,0.5232,0.58865,0.36795,1.16118,0.70475,0.78889,0.00013625,0.00013625,0.00013625
