epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.3918,1.4959,0.88626,0.80392,0.7409,0.49111,0.50093,0.26638,1.39143,0.74984,0.81059,0.000405983,0.000405983,0.000405983
2,97.688,1.46947,0.83263,0.80131,0.80943,0.50452,0.57174,0.35538,1.25018,0.8181,0.79782,0.000806361,0.000806361,0.000806361
3,142.093,1.49327,0.81828,0.79847,0.78823,0.50366,0.54019,0.30644,1.29995,0.75435,0.80352,0.00119024,0.00119024,0.00119024
4,185.665,1.46418,0.79598,0.795,0.75066,0.53626,0.56472,0.32251,1.25113,0.70932,0.79615,0.00117575,0.00117575,0.00117575
5,229.5,1.45446,0.76756,0.79333,0.76981,0.59954,0.62096,0.36825,1.268,0.70182,0.79731,0.001151,0.001151,0.001151
6,270.634,1.40271,0.72963,0.78959,0.7719,0.56789,0.63036,0.37688,1.25183,0.66356,0.79493,0.00112625,0.00112625,0.00112625
7,313.19,1.38116,0.70416,0.79023,0.75667,0.52954,0.61382,0.36142,1.21071,0.63561,0.79317,0.0011015,0.0011015,0.0011015
8,355.816,1.41079,0.7019,0.78541,0.7626,0.59832,0.63895,0.37859,1.18074,0.63052,0.78942,0.00107675,0.00107675,0.00107675
9,397.387,1.33187,0.67935,0.78745,0.7179,0.5385,0.62728,0.37022,1.15045,0.6266,0.78885,0.001052,0.001052,0.001052
10,447.195,1.33019,0.66379,0.78473,0.76467,0.5764,0.64865,0.39443,1.12852,0.62437,0.78451,0.00102725,0.00102725,0.00102725
11,505.133,1.31817,0.64096,0.78482,0.714,0.56426,0.62399,0.38099,1.14321,0.59815,0.78902,0.0010025,0.0010025,0.0010025
12,565.222,1.29825,0.63141,0.78525,0.68024,0.63763,0.67754,0.40193,1.13025,0.59305,0.78632,0.00097775,0.00097775,0.00097775
13,612.448,1.31857,0.63661,0.78188,0.76784,0.57731,0.66032,0.40645,1.14177,0.58152,0.7898,0.000953,0.000953,0.000953
14,655.104,1.30196,0.6211,0.78089,0.81625,0.64274,0.68458,0.41361,1.13177,0.57892,0.78513,0.00092825,0.00092825,0.00092825
15,701.064,1.28704,0.61826,0.78331,0.79445,0.65008,0.69493,0.42393,1.11503,0.56737,0.78794,0.0009035,0.0009035,0.0009035
16,748.767,1.29179,0.62111,0.77946,0.72841,0.63179,0.65174,0.38966,1.18683,0.62385,0.79065,0.00087875,0.00087875,0.00087875
17,795.667,1.32216,0.62899,0.78141,0.77616,0.64373,0.68927,0.40513,1.1632,0.58821,0.78676,0.000854,0.000854,0.000854
18,842.999,1.29829,0.60242,0.78155,0.87106,0.6346,0.69699,0.42191,1.11143,0.56522,0.78518,0.00082925,0.00082925,0.00082925
19,884.197,1.27531,0.59581,0.78285,0.8205,0.54218,0.6434,0.37522,1.12034,0.57625,0.78673,0.0008045,0.0008045,0.0008045
20,928.238,1.25756,0.59159,0.78016,0.82241,0.61309,0.6909,0.40903,1.14457,0.56733,0.7882,0.00077975,0.00077975,0.00077975
21,978.681,1.26056,0.58376,0.77861,0.86351,0.58221,0.68849,0.41642,1.11447,0.57635,0.78361,0.000755,0.000755,0.000755
22,1021.32,1.2977,0.58544,0.77964,0.73699,0.66254,0.68977,0.43498,1.10178,0.5546,0.78432,0.00073025,0.00073025,0.00073025
23,1064.19,1.23856,0.57136,0.77744,0.76335,0.59779,0.67503,0.41739,1.11096,0.55392,0.78132,0.0007055,0.0007055,0.0007055
24,1106.15,1.28345,0.59235,0.77601,0.83785,0.70062,0.71618,0.44261,1.07341,0.53583,0.78395,0.00068075,0.00068075,0.00068075
25,1151.64,1.22346,0.56644,0.77678,0.90141,0.54694,0.66199,0.41877,1.07068,0.55435,0.78267,0.000656,0.000656,0.000656
26,1193.3,1.20358,0.55286,0.77685,0.76031,0.66732,0.72204,0.43675,1.08212,0.53709,0.78268,0.00063125,0.00063125,0.00063125
27,1234.68,1.19483,0.54788,0.77623,0.84489,0.58011,0.69128,0.41111,1.12484,0.54991,0.78502,0.0006065,0.0006065,0.0006065
28,1278.68,1.22983,0.55542,0.776,0.832,0.59424,0.68031,0.41197,1.10735,0.53449,0.77964,0.00058175,0.00058175,0.00058175
29,1326.49,1.2012,0.54934,0.77476,0.79342,0.66157,0.71527,0.44565,1.04847,0.51405,0.78032,0.000557,0.000557,0.000557
30,1371.12,1.21308,0.54456,0.77268,0.86345,0.65195,0.71787,0.42669,1.09239,0.53467,0.78212,0.00053225,0.00053225,0.00053225
31,1413.61,1.19154,0.54147,0.77384,0.74823,0.65844,0.70557,0.42552,1.06212,0.53476,0.77971,0.0005075,0.0005075,0.0005075
32,1456.16,1.13599,0.52295,0.77533,0.79421,0.63502,0.71304,0.43058,1.06404,0.52981,0.78015,0.00048275,0.00048275,0.00048275
33,1494.59,1.16475,0.53261,0.77434,0.85358,0.63847,0.70654,0.44509,1.04812,0.51692,0.78064,0.000458,0.000458,0.000458
34,1533.12,1.16754,0.52736,0.77211,0.86942,0.64499,0.7245,0.45304,1.04887,0.50904,0.78156,0.00043325,0.00043325,0.00043325
35,1572.03,1.16475,0.52382,0.77428,0.85213,0.69189,0.73472,0.41532,1.18036,0.5526,0.78989,0.0004085,0.0004085,0.0004085
36,1616.01,1.17554,0.5255,0.77372,0.77991,0.66583,0.71279,0.45003,1.06894,0.5197,0.7804,0.00038375,0.00038375,0.00038375
37,1656.16,1.13778,0.51902,0.77113,0.88253,0.67234,0.71919,0.45363,1.05404,0.52099,0.7815,0.000359,0.000359,0.000359
38,1696.72,1.12976,0.51128,0.77125,0.80535,0.67049,0.72094,0.4519,1.04948,0.51703,0.77956,0.00033425,0.00033425,0.00033425
39,1740.55,1.14823,0.51317,0.77039,0.80001,0.73402,0.74448,0.44232,1.05423,0.51536,0.78152,0.0003095,0.0003095,0.0003095
40,1779.91,1.16459,0.51444,0.7697,0.75297,0.6292,0.70747,0.43459,1.05054,0.51373,0.78079,0.00028475,0.00028475,0.00028475
41,1850.08,1.06423,0.50327,0.77692,0.78484,0.63927,0.70108,0.43368,1.0407,0.51205,0.78081,0.00026,0.00026,0.00026
42,1887.23,1.02104,0.48269,0.77664,0.84089,0.68904,0.72307,0.44444,1.06497,0.51995,0.78138,0.00023525,0.00023525,0.00023525
43,1924.57,1.01187,0.47685,0.77374,0.87395,0.60357,0.72108,0.44181,1.05434,0.52842,0.77984,0.0002105,0.0002105,0.0002105
44,1962.09,1.00741,0.47687,0.77235,0.72803,0.6502,0.70687,0.42567,1.05617,0.51057,0.78215,0.00018575,0.00018575,0.00018575
45,1999.92,0.98028,0.46462,0.77548,0.79664,0.64012,0.71149,0.43909,1.03394,0.50904,0.7792,0.000161,0.000161,0.000161
46,2038.47,1.01008,0.47113,0.77497,0.84141,0.63302,0.7062,0.42864,1.04957,0.50289,0.77958,0.00013625,0.00013625,0.00013625
47,2076.58,1.00178,0.46426,0.77478,0.85064,0.64791,0.71752,0.44392,1.04274,0.50557,0.78086,0.0001115,0.0001115,0.0001115
48,2114.71,0.9885,0.45946,0.7744,0.83987,0.64426,0.71507,0.44002,1.03322,0.50346,0.78004,8.675e-05,8.675e-05,8.675e-05
49,2152.17,0.98008,0.45512,0.77329,0.83255,0.64161,0.71015,0.4459,1.03272,0.50551,0.77987,6.2e-05,6.2e-05,6.2e-05
50,2190.63,0.98134,0.45601,0.77308,0.84685,0.64247,0.71704,0.44795,1.01779,0.49004,0.77869,3.725e-05,3.725e-05,3.725e-05
